diet_pattern,food_group,outcome,impact_median_year,my_sum,my_prop
US,oil,WATER (litereq),-290.1858285128894,249363.5608916803,-0.11637058256436339
US,pf_egg,WATER (litereq),-3143.880911191344,249363.5608916803,-1.2607619573402697
US,pf_ns,WATER (litereq),-18434.224407276954,249363.5608916803,-7.392509290996409
US,pf_pm,WATER (litereq),0,249363.5608916803,0
US,pf_poultry,WATER (litereq),0,249363.5608916803,0
US,pf_poultry_tot,WATER (litereq),-9239.741163438792,249363.5608916803,-3.7053293313582385
US,pf_redm,WATER (litereq),0,249363.5608916803,0
US,pf_redm_tot,WATER (litereq),-45942.034433553985,249363.5608916803,-18.423716067124378
US,pf_seafood,WATER (litereq),2889.584054531812,249363.5608916803,1.1587836026238825
US,sat_fat,WATER (litereq),-25043.199579888333,249363.5608916803,-10.042846472972332
US,veg_dg,WATER (litereq),12210.259978014965,249363.5608916803,4.896569464421032
US,veg_oth,WATER (litereq),1720.7317899831455,249363.5608916803,0.6900494137275354
US,veg_ro,WATER (litereq),23322.81251339208,249363.5608916803,9.352935300568294
US,veg_sta,WATER (litereq),20070.714258082422,249363.5608916803,8.048775926327437
Veg,added_sugar,BLUEWATER (L),-3695.2353032972924,-3499.637122468255,105.58909892609336
Veg,dairy_cow,BLUEWATER (L),13483.349380516323,-3499.637122468255,-385.27849913212344
Veg,dairy_soy,BLUEWATER (L),-8.129004661283298,-3499.637122468255,0.23228135880413803
Veg,dairy_tot,BLUEWATER (L),0,-3499.637122468255,-0
Veg,fruit_exc_juice,BLUEWATER (L),22254.7824675387,-3499.637122468255,-635.9168590554511
Veg,fruit_juice,BLUEWATER (L),7883.7968918993965,-3499.637122468255,-225.27469609017757
Veg,gr_refined,BLUEWATER (L),-10993.96893094031,-3499.637122468255,314.1459684593352
Veg,gr_whole,BLUEWATER (L),12173.889916544927,-3499.637122468255,-347.86149222119406
Veg,leg_tot,BLUEWATER (L),10022.819715868374,-3499.637122468255,-286.3959709285342
Veg,oil,BLUEWATER (L),-103.13193897381505,-3499.637122468255,2.946932363692532
Veg,pf_egg,BLUEWATER (L),-1925.8181314264307,-3499.637122468255,55.029080559877386
Veg,pf_ns,BLUEWATER (L),4964.329261512823,-3499.637122468255,-141.8526860868231
Veg,pf_pm,BLUEWATER (L),0,-3499.637122468255,-0
Veg,pf_poultry,BLUEWATER (L),0,-3499.637122468255,-0
