subgroup_id,type,CancerSites,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
1,Incidence,Stomach,2013,Female,Age_2044,Non-hispanic White,205,24200000,0.846,0.118
2,Incidence,Stomach,2013,Male,Age_2044,Non-hispanic White,267,24600000,1.086,0.133
3,Incidence,Stomach,2013,Female,Age_2044,Non-hispanic Black,89,4213789,2.112,0.388
4,Incidence,Stomach,2013,Male,Age_2044,Non-hispanic Black,90,3782094,2.38,0.437
5,Incidence,Stomach,2013,Female,Age_2044,Hispanic,154,5955693,2.586,0.388
6,Incidence,Stomach,2013,Male,Age_2044,Hispanic,181,6227792,2.906,0.402
7,Incidence,Stomach,2013,Female,Age_2044,Other,53,2388813,2.219,0.541
8,Incidence,Stomach,2013,Male,Age_2044,Other,34,1558271,2.182,0.572
9,Incidence,Stomach,2013,Female,Age_4554,Non-hispanic White,459,14700000,3.116,0.204
10,Incidence,Stomach,2013,Male,Age_4554,Non-hispanic White,932,14500000,6.411,0.295
11,Incidence,Stomach,2013,Female,Age_4554,Non-hispanic Black,166,2885488,5.753,0.631
12,Incidence,Stomach,2013,Male,Age_4554,Non-hispanic Black,300,2549908,11.765,0.959
13,Incidence,Stomach,2013,Female,Age_4554,Hispanic,202,2853959,7.078,0.727
14,Incidence,Stomach,2013,Male,Age_4554,Hispanic,258,2814960,9.165,0.821
15,Incidence,Stomach,2013,Female,Age_4554,Other,89,1258082,7.074,1.064
16,Incidence,Stomach,2013,Male,Age_4554,Other,100,1109784,9.011,1.282
17,Incidence,Stomach,2013,Female,Age_5564,Non-hispanic White,894,14700000,6.098,0.29
18,Incidence,Stomach,2013,Male,Age_5564,Non-hispanic White,2058,14000000,14.717,0.462
19,Incidence,Stomach,2013,Female,Age_5564,Non-hispanic Black,319,2394848,13.32,1.066
20,Incidence,Stomach,2013,Male,Age_5564,Non-hispanic Black,542,2000803,27.089,1.661
21,Incidence,Stomach,2013,Female,Age_5564,Hispanic,221,1819255,12.148,1.18
22,Incidence,Stomach,2013,Male,Age_5564,Hispanic,383,1687920,22.691,1.673
23,Incidence,Stomach,2013,Female,Age_5564,Other,132,1026844,12.855,1.584
24,Incidence,Stomach,2013,Male,Age_5564,Other,207,852728,24.275,2.409
25,Incidence,Stomach,2013,Female,Age_over65,Non-hispanic White,3324,19500000,17.011,0.686
26,Incidence,Stomach,2013,Male,Age_over65,Non-hispanic White,5979,15600000,38.411,1.175
27,Incidence,Stomach,2013,Female,Age_over65,Non-hispanic Black,817,2329909,35.066,2.905
28,Incidence,Stomach,2013,Male,Age_over65,Non-hispanic Black,1021,1542829,66.177,4.979
29,Incidence,Stomach,2013,Female,Age_over65,Hispanic,675,1797266,37.557,3.46
30,Incidence,Stomach,2013,Male,Age_over65,Hispanic,757,1351039,56.031,4.934
31,Incidence,Stomach,2013,Female,Age_over65,Other,405,1023756,39.56,4.773
32,Incidence,Stomach,2013,Male,Age_over65,Other,570,785711,72.546,7.426
1,Incidence,Pancreas,2013,Female,Age_2044,Non-hispanic White,328,30600000,1.074,0.132
2,Incidence,Pancreas,2013,Male,Age_2044,Non-hispanic White,293,18300000,1.603,0.161
3,Incidence,Pancreas,2013,Female,Age_2044,Non-hispanic Black,53,2747328,1.929,0.375
4,Incidence,Pancreas,2013,Male,Age_2044,Non-hispanic Black,70,2444886,2.863,0.483
5,Incidence,Pancreas,2013,Female,Age_2044,Hispanic,57,4366824,1.305,0.278
6,Incidence,Pancreas,2013,Male,Age_2044,Hispanic,48,4493404,1.068,0.246
7,Incidence,Pancreas,2013,Female,Age_2044,Other,0,207056,0,0
8,Incidence,Pancreas,2013,Male,Age_2044,Other,19,957117,1.985,0.545
9,Incidence,Pancreas,2013,Female,Age_4554,Non-hispanic White,1105,14700000,7.502,0.316
10,Incidence,Pancreas,2013,Male,Age_4554,Non-hispanic White,1543,14500000,10.614,0.379
11,Incidence,Pancreas,2013,Female,Age_4554,Non-hispanic Black,305,2885488,10.57,0.854
12,Incidence,Pancreas,2013,Male,Age_4554,Non-hispanic Black,358,2549908,14.04,1.048
13,Incidence,Pancreas,2013,Female,Age_4554,Hispanic,144,2819825,5.107,0.623
14,Incidence,Pancreas,2013,Male,Age_4554,Hispanic,240,2838689,8.455,0.793
15,Incidence,Pancreas,2013,Female,Age_4554,Other,33,606670,5.44,0.947
16,Incidence,Pancreas,2013,Male,Age_4554,Other,72,1109784,6.488,1.086
17,Incidence,Pancreas,2013,Female,Age_5564,Non-hispanic White,2960,14700000,20.189,0.528
18,Incidence,Pancreas,2013,Male,Age_5564,Non-hispanic White,4098,14000000,29.305,0.652
19,Incidence,Pancreas,2013,Female,Age_5564,Non-hispanic Black,686,2394848,28.645,1.562
20,Incidence,Pancreas,2013,Male,Age_5564,Non-hispanic Black,779,2000803,38.934,1.989
21,Incidence,Pancreas,2013,Female,Age_5564,Hispanic,342,1867830,18.31,1.463
22,Incidence,Pancreas,2013,Male,Age_5564,Hispanic,380,1665910,22.81,1.686
23,Incidence,Pancreas,2013,Female,Age_5564,Other,159,1093574,14.539,2.199
24,Incidence,Pancreas,2013,Male,Age_5564,Other,181,928390,19.496,2.577
25,Incidence,Pancreas,2013,Female,Age_over65,Non-hispanic White,11405,19500000,58.367,1.268
26,Incidence,Pancreas,2013,Male,Age_over65,Non-hispanic White,11322,15600000,72.736,1.613
27,Incidence,Pancreas,2013,Female,Age_over65,Non-hispanic Black,1678,2329909,72.02,4.153
28,Incidence,Pancreas,2013,Male,Age_over65,Non-hispanic Black,1207,1542829,78.233,5.31
29,Incidence,Pancreas,2013,Female,Age_over65,Hispanic,1011,1779060,56.828,4.281
30,Incidence,Pancreas,2013,Male,Age_over65,Hispanic,855,1334251,64.081,5.165
31,Incidence,Pancreas,2013,Female,Age_over65,Other,485,1023756,47.375,5.208
32,Incidence,Pancreas,2013,Male,Age_over65,Other,424,829168,51.136,6.626
1,Incidence,Kidney and Renal Pelvis,2013,Female,Age_2044,Non-hispanic White,1104,30600000,3.614,0.244
2,Incidence,Kidney and Renal Pelvis,2013,Male,Age_2044,Non-hispanic White,1609,31200000,5.16,0.289
3,Incidence,Kidney and Renal Pelvis,2013,Female,Age_2044,Non-hispanic Black,219,5720433,3.828,0.522
4,Incidence,Kidney and Renal Pelvis,2013,Male,Age_2044,Non-hispanic Black,375,5220310,7.183,0.756
5,Incidence,Kidney and Renal Pelvis,2013,Female,Age_2044,Hispanic,299,9645322,3.1,0.423
6,Incidence,Kidney and Renal Pelvis,2013,Male,Age_2044,Hispanic,375,8104530,4.627,0.504
7,Incidence,Kidney and Renal Pelvis,2013,Female,Age_2044,Other,21,866900,2.422,0.566
8,Incidence,Kidney and Renal Pelvis,2013,Male,Age_2044,Other,71,1423074,4.989,1.435
9,Incidence,Kidney and Renal Pelvis,2013,Female,Age_4554,Non-hispanic White,1956,14700000,13.279,0.423
10,Incidence,Kidney and Renal Pelvis,2013,Male,Age_4554,Non-hispanic White,3775,14500000,25.967,0.594
11,Incidence,Kidney and Renal Pelvis,2013,Female,Age_4554,Non-hispanic Black,398,2885488,13.793,0.977
12,Incidence,Kidney and Renal Pelvis,2013,Male,Age_4554,Non-hispanic Black,771,2549908,30.236,1.539
13,Incidence,Kidney and Renal Pelvis,2013,Female,Age_4554,Hispanic,365,2737390,13.334,0.997
14,Incidence,Kidney and Renal Pelvis,2013,Male,Age_4554,Hispanic,623,2824684,22.056,1.271
15,Incidence,Kidney and Renal Pelvis,2013,Female,Age_4554,Other,96,1352002,7.101,1.594
16,Incidence,Kidney and Renal Pelvis,2013,Male,Age_4554,Other,209,1277639,16.358,2.955
17,Incidence,Kidney and Renal Pelvis,2013,Female,Age_5564,Non-hispanic White,3564,14700000,24.309,0.578
18,Incidence,Kidney and Renal Pelvis,2013,Male,Age_5564,Non-hispanic White,7206,14000000,51.53,0.862
19,Incidence,Kidney and Renal Pelvis,2013,Female,Age_5564,Non-hispanic Black,705,2394848,29.438,1.58
20,Incidence,Kidney and Renal Pelvis,2013,Male,Age_5564,Non-hispanic Black,1260,2000803,62.975,2.532
21,Incidence,Kidney and Renal Pelvis,2013,Female,Age_5564,Hispanic,506,1796973,28.159,1.796
22,Incidence,Kidney and Renal Pelvis,2013,Male,Age_5564,Hispanic,835,1665910,50.123,2.486
23,Incidence,Kidney and Renal Pelvis,2013,Female,Age_5564,Other,159,1178370,13.493,2.77
24,Incidence,Kidney and Renal Pelvis,2013,Male,Age_5564,Other,316,987955,31.985,4.295
25,Incidence,Kidney and Renal Pelvis,2013,Female,Age_over65,Non-hispanic White,8310,19500000,42.528,1.05
26,Incidence,Kidney and Renal Pelvis,2013,Male,Age_over65,Non-hispanic White,13781,15600000,88.533,1.693
27,Incidence,Kidney and Renal Pelvis,2013,Female,Age_over65,Non-hispanic Black,1137,2329909,48.8,3.191
28,Incidence,Kidney and Renal Pelvis,2013,Male,Age_over65,Non-hispanic Black,1484,1542829,96.187,5.375
29,Incidence,Kidney and Renal Pelvis,2013,Female,Age_over65,Hispanic,857,1786156,47.98,3.719
30,Incidence,Kidney and Renal Pelvis,2013,Male,Age_over65,Hispanic,1216,1334198,91.141,5.857
31,Incidence,Kidney and Renal Pelvis,2013,Female,Age_over65,Other,227,1094504,20.74,4.522
