subgroup,Foodgroup,N,Mean_Intake,SE_Intake,sigma_u_wgt,Food_label,Food_desc,pro_gro
5,fruit_exc_juice,354,0.67,0.06,0.55,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8319770966445331
6,fruit_exc_juice,240,0.67,0.08,0.55,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.7420664565208834
7,fruit_exc_juice,290,0.73,0.07,0.59,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8376518750733509
8,fruit_exc_juice,235,0.78,0.07,0.62,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8764196620589275
9,fruit_exc_juice,237,0.63,0.05,0.52,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8801897905807005
10,fruit_exc_juice,199,0.54,0.04,0.46,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8230388594609903
11,fruit_exc_juice,252,0.8,0.05,0.62,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8670005833430675
12,fruit_exc_juice,141,0.67,0.1,0.55,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8891571672687683
13,fruit_exc_juice,215,0.74,0.08,0.6,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8965698904569894
14,fruit_exc_juice,155,0.74,0.11,0.59,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.892372677985425
15,fruit_exc_juice,198,0.82,0.06,0.64,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.7707112005983416
16,fruit_exc_juice,134,0.9,0.08,0.69,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.897075029470661
17,fruit_exc_juice,245,0.58,0.06,0.48,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.90735433772939
