subgroup_id,type,CancerSite,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
25,Mortality,Female Breast,2015,Female,Age_over65,Non-hispanic White,20128,20639658,97.52099575,1.617666417
26,Mortality,Female Breast,2015,Female,Age_over65,Non-hispanic Black,2871,2552333,112.4853223,4.957488981
27,Mortality,Female Breast,2015,Female,Age_over65,Hispanic,1212,2132451,56.83600702,5.850345804
28,Mortality,Female Breast,2015,Female,Age_over65,Other,656,1339138,48.98673624,7.394294792
29,Mortality,Female Breast,2015,Male,Age_over65,Non-hispanic White,0,16705087,0,0
30,Mortality,Female Breast,2015,Male,Age_over65,Non-hispanic Black,0,1714280,0,0
31,Mortality,Female Breast,2015,Male,Age_over65,Hispanic,0,1619259,0,0
32,Mortality,Female Breast,2015,Male,Age_over65,Other,0,1032086,0,0
1,Mortality,Gallbladder,2015,Female,Age_2044,Non-hispanic White,7,30523184,0.022933387,0
2,Mortality,Gallbladder,2015,Female,Age_2044,Non-hispanic Black,8,7676770,0.104210495,0.1
3,Mortality,Gallbladder,2015,Female,Age_2044,Hispanic,7,10518884,0.066546984,0.1
4,Mortality,Gallbladder,2015,Female,Age_2044,Other,2,4433343,0.045112684,0.38125819
5,Mortality,Gallbladder,2015,Male,Age_2044,Non-hispanic White,2,31292111,0.006391387,0
6,Mortality,Gallbladder,2015,Male,Age_2044,Non-hispanic Black,0,7275243,0,0
7,Mortality,Gallbladder,2015,Male,Age_2044,Hispanic,1,11306346,0.00884459,0.1
8,Mortality,Gallbladder,2015,Male,Age_2044,Other,3,4155228,0.072198204,0.307193657
9,Mortality,Gallbladder,2015,Female,Age_4554,Non-hispanic White,47,14238423,0.330092736,0.1
10,Mortality,Gallbladder,2015,Female,Age_4554,Non-hispanic Black,29,2860342,1.013864776,0.256163184
11,Mortality,Gallbladder,2015,Female,Age_4554,Hispanic,23,3213000,0.715841892,0.332451346
12,Mortality,Gallbladder,2015,Female,Age_4554,Other,11,1529112,0.719371766,0.489301629
13,Mortality,Gallbladder,2015,Male,Age_4554,Non-hispanic White,27,14096551,0.191536213,0.072884165
14,Mortality,Gallbladder,2015,Male,Age_4554,Non-hispanic Black,8,2528856,0.316348578,0.159062402
15,Mortality,Gallbladder,2015,Male,Age_4554,Hispanic,6,3272152,0.183365565,0.1
16,Mortality,Gallbladder,2015,Male,Age_4554,Other,4,1352454,0.295758673,0.367242979
17,Mortality,Gallbladder,2015,Female,Age_5564,Non-hispanic White,142,15111568,0.939677471,0.1
18,Mortality,Gallbladder,2015,Female,Age_5564,Non-hispanic Black,46,2546832,1.806165464,0.402973277
19,Mortality,Gallbladder,2015,Female,Age_5564,Hispanic,43,2198328,1.956032039,0.574035178
20,Mortality,Gallbladder,2015,Female,Age_5564,Other,21,1272047,1.650882397,0.813596366
21,Mortality,Gallbladder,2015,Male,Age_5564,Non-hispanic White,64,14415002,0.443981902,0.1
22,Mortality,Gallbladder,2015,Male,Age_5564,Non-hispanic Black,21,2137700,0.982364223,0.304354471
23,Mortality,Gallbladder,2015,Male,Age_5564,Hispanic,17,2058899,0.825684018,0.301166473
24,Mortality,Gallbladder,2015,Male,Age_5564,Other,4,1066033,0.375222906,0.5
25,Mortality,Gallbladder,2015,Female,Age_over65,Non-hispanic White,753,20639658,3.648316266,0.326988096
26,Mortality,Gallbladder,2015,Female,Age_over65,Non-hispanic Black,135,2552333,5.289278476,1.112944995
27,Mortality,Gallbladder,2015,Female,Age_over65,Hispanic,140,2132451,6.565215332,1.645168498
28,Mortality,Gallbladder,2015,Female,Age_over65,Other,54,1339138,4.032444752,2.091922717
29,Mortality,Gallbladder,2015,Male,Age_over65,Non-hispanic White,336,16705087,2.011363365,0.273116735
30,Mortality,Gallbladder,2015,Male,Age_over65,Non-hispanic Black,72,1714280,4.200014,1.271138171
31,Mortality,Gallbladder,2015,Male,Age_over65,Hispanic,45,1619259,2.779048935,1.872875388
32,Mortality,Gallbladder,2015,Male,Age_over65,Other,41,1032086,3.972537172,2.321491687
1,Mortality,Kidney and Renal Pelvis,2015,Female,Age_2044,Non-hispanic White,44,30523184,0.14415272,0.062171225
2,Mortality,Kidney and Renal Pelvis,2015,Female,Age_2044,Non-hispanic Black,30,7676770,0.390789355,0.173027346
3,Mortality,Kidney and Renal Pelvis,2015,Female,Age_2044,Hispanic,17,10518884,0.161614103,0.115633272
4,Mortality,Kidney and Renal Pelvis,2015,Female,Age_2044,Other,7,4433343,0.157894393,0.401598482
5,Mortality,Kidney and Renal Pelvis,2015,Male,Age_2044,Non-hispanic White,107,31292111,0.341939219,0.085837476
6,Mortality,Kidney and Renal Pelvis,2015,Male,Age_2044,Non-hispanic Black,60,7275243,0.824714721,0.262523887
7,Mortality,Kidney and Renal Pelvis,2015,Male,Age_2044,Hispanic,37,11306346,0.327249847,0.147836132
8,Mortality,Kidney and Renal Pelvis,2015,Male,Age_2044,Other,10,4155228,0.240660681,0.35926512
9,Mortality,Kidney and Renal Pelvis,2015,Female,Age_4554,Non-hispanic White,177,14238423,1.243115196,0.1
10,Mortality,Kidney and Renal Pelvis,2015,Female,Age_4554,Non-hispanic Black,36,2860342,1.258590756,0.3
