year,race_gp,age_gp,sex,subgroup_id,crude_rate
2033,NHB,age_65+,Male,30,42.652775761
2033,HIS,age_65+,Male,31,40.993930206
2033,Other,age_65+,Male,32,46.924415814
2034,NHW,age_2044,Female,1,11.025411887
2034,NHB,age_2044,Female,2,7.2018300974
2034,HIS,age_2044,Female,3,4.7406205661
2034,Other,age_2044,Female,4,7.427965869
2034,NHW,age_2044,Male,5,37.755712689
2034,NHB,age_2044,Male,6,11.685615034
2034,HIS,age_2044,Male,7,9.1999000528
2034,Other,age_2044,Male,8,20.973874155
2034,NHW,age_4554,Female,9,25.482082306
2034,NHB,age_4554,Female,10,15.35063891
2034,HIS,age_4554,Female,11,14.485272643
2034,Other,age_4554,Female,12,17.02299086
2034,NHW,age_4554,Male,13,86.659034648
2034,NHB,age_4554,Male,14,38.506801458
2034,HIS,age_4554,Male,15,35.302109744
2034,Other,age_4554,Male,16,46.624492073
2034,NHW,age_5564,Female,17,27.293494647
2034,NHB,age_5564,Female,18,14.521367981
2034,HIS,age_5564,Female,19,16.757012427
2034,Other,age_5564,Female,20,18.894516742
2034,NHW,age_5564,Male,21,86.324928537
2034,NHB,age_5564,Male,22,42.652776169
2034,HIS,age_5564,Male,23,40.993932045
2034,Other,age_5564,Male,24,46.92441482
2034,NHW,age_65+,Female,25,27.293494603
2034,NHB,age_65+,Female,26,14.521368739
2034,HIS,age_65+,Female,27,16.757011214
2034,Other,age_65+,Female,28,18.894516674
2034,NHW,age_65+,Male,29,86.32492857
2034,NHB,age_65+,Male,30,42.652773574
2034,HIS,age_65+,Male,31,40.993934238
2034,Other,age_65+,Male,32,46.924413577
2035,NHW,age_2044,Female,1,11.813181995
2035,NHB,age_2044,Female,2,7.8433290795
2035,HIS,age_2044,Female,3,5.0825382651
2035,Other,age_2044,Female,4,7.8840946308
2035,NHW,age_2044,Male,5,41.194292696
2035,NHB,age_2044,Male,6,12.784414975
2035,HIS,age_2044,Male,7,10.090154319
2035,Other,age_2044,Male,8,22.592923776
2035,NHW,age_4554,Female,9,26.103726331
2035,NHB,age_4554,Female,10,15.076223574
2035,HIS,age_4554,Female,11,15.225189308
2035,Other,age_4554,Female,12,17.633748038
2035,NHW,age_4554,Male,13,86.544923644
2035,NHB,age_4554,Male,14,39.880249964
2035,HIS,age_4554,Male,15,37.16099873
2035,Other,age_4554,Male,16,46.722173
2035,NHW,age_5564,Female,17,27.293494448
2035,NHB,age_5564,Female,18,14.521367868
2035,HIS,age_5564,Female,19,16.757011676
2035,Other,age_5564,Female,20,18.894516248
2035,NHW,age_5564,Male,21,86.324928808
2035,NHB,age_5564,Male,22,42.652776003
2035,HIS,age_5564,Male,23,40.993930684
2035,Other,age_5564,Male,24,46.924414457
2035,NHW,age_65+,Female,25,27.2934944
2035,NHB,age_65+,Female,26,14.521366297
2035,HIS,age_65+,Female,27,16.757009969
