diet_pattern,food_cat,food_group,outcome,impact_median_day,LB_day,UB_day,impact_median_year,LB_year,UB_year
Veg,Dairy,dairy_cow,CED (MJ),2.9999716620517,2.95841761133623,3.04132794641508,1094.9896566488706,1079.8224281377238,1110.084700441504
Vegan,Dairy,dairy_cow,CED (MJ),-2.52211036431301,-2.56517055062218,-2.48273265400638,-920.5702829742487,-936.2872509770957,-906.1974187123287
DGAplus,Dairy,dairy_soy,CED (MJ),-0.013987885495658,-0.0168799037825579,-0.0111169949539826,-5.10557820591517,-6.161164880633633,-4.0577031582036485
Med,Dairy,dairy_soy,CED (MJ),-0.0139489647242864,-0.0168872052296887,-0.0109326949787036,-5.091372124364535,-6.163829908836376,-3.990433667226814
US,Dairy,dairy_soy,CED (MJ),-0.0139183935620619,-0.0171393691522964,-0.0109169562653137,-5.080213650152594,-6.255869740588186,-3.9846890368395007
Veg,Dairy,dairy_soy,CED (MJ),-0.0139249367027801,-0.0171465220018902,-0.0108684332512417,-5.082601896514737,-6.258480530689924,-3.9669781367032204
Vegan,Dairy,dairy_soy,CED (MJ),0.92125033543074,0.918327960362925,0.924410734157113,336.2563724322201,335.1897055324676,337.40991796734625
DGAplus,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
Med,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
US,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
Veg,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
Vegan,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
DGAplus,Dairy,dairy_tot_calculated,CED (MJ),2.987422746140242,2.944335580608012,3.0293251511283974,1090.4093023411883,1074.6824869219245,1105.7036801618651
Med,Dairy,dairy_tot_calculated,CED (MJ),1.1455567497054138,1.0976265054371814,1.1896450864564763,418.128213642476,400.6336744845712,434.22045655661384
US,Dairy,dairy_tot_calculated,CED (MJ),2.986481342803568,2.9417492318128935,3.0278599855580364,1090.0656901233024,1073.738469611706,1105.1688947286832
Veg,Dairy,dairy_tot_calculated,CED (MJ),2.98604672534892,2.94127108933434,3.030459513163838,1089.9070547523559,1073.5639476070342,1106.117722304801
Vegan,Dairy,dairy_tot_calculated,CED (MJ),-1.60086002888227,-1.6468425902592552,-1.5583219198492673,-584.3139105420286,-601.0975454446282,-568.7875007449826
DGAplus,Fruit,fruit_exc_juice,CED (MJ),1.25512645295876,1.23596882363793,1.27376614190839,458.1211553299474,451.12862062784444,464.9246417965624
Med,Fruit,fruit_exc_juice,CED (MJ),1.1784922497241,1.15863233245767,1.197084206413,430.14967114929647,422.90080134704954,436.935735340745
US,Fruit,fruit_exc_juice,CED (MJ),0.817806539629269,0.799144153252883,0.836924089046583,298.4993869646832,291.6876159373023,305.4772925020028
Veg,Fruit,fruit_exc_juice,CED (MJ),0.818320500971157,0.798504902375379,0.835941759083248,298.6869828544723,291.4542893670133,305.1187420653855
Vegan,Fruit,fruit_exc_juice,CED (MJ),0.81749345572781,0.798358204807261,0.836267848807657,298.3851113406506,291.4007447546503,305.23776481479484
DGAplus,Fruit,fruit_juice,CED (MJ),-0.5259128314329,-0.550895546639681,-0.502083462092423,-191.95818347300852,-201.07687452348355,-183.2604636637344
Med,Fruit,fruit_juice,CED (MJ),0.712477252264999,0.687937926771036,0.737470934380909,260.0541970767246,251.09734327142814,269.1768910490318
US,Fruit,fruit_juice,CED (MJ),0.457485226582181,0.431694072173034,0.479864232100627,166.98210770249605,157.56833634315743,175.15044471672886
Veg,Fruit,fruit_juice,CED (MJ),0.45601320684587,0.432692241176429,0.481296864158396,166.44482049874256,157.93266802939658,175.67335541781455
Vegan,Fruit,fruit_juice,CED (MJ),0.456941509452955,0.430663356510724,0.482019905645327,166.78365095032856,157.19212512641425,175.93726556054435
DGAplus,Grains,gr_refined,CED (MJ),-0.427115432737782,-0.435423957572251,-0.419316136163033,-155.89713294929044,-158.9297445138716,-153.05038969950704
Med,Grains,gr_refined,CED (MJ),-0.351391402291157,-0.360097580577314,-0.342726523162869,-128.2578618362723,-131.4356169107196,-125.09518095444719
US,Grains,gr_refined,CED (MJ),-0.351242601746944,-0.36016959419176803,-0.342570454073054,-128.20354963763455,-131.46190187999534,-125.0382157366647
Veg,Grains,gr_refined,CED (MJ),-0.351289679908563,-0.359316548268601,-0.342855740076543,-128.2207331666255,-131.15054011803937,-125.1423451279382
Vegan,Grains,gr_refined,CED (MJ),-0.351306341371403,-0.360184066880354,-0.34257917666346,-128.22681460056208,-131.4671844113292,-125.0413994821629
DGAplus,Grains,gr_whole,CED (MJ),0.53316896590626806,0.52867720928936,0.538227176891276,194.60667255578784,192.96718139061642,196.45291956531574
Med,Grains,gr_whole,CED (MJ),0.431879511260834,0.426912302733829,0.436856642679617,157.6360216102044,155.8229904978476,159.4526745780602
US,Grains,gr_whole,CED (MJ),0.431820952089601,0.427098320590911,0.436905550572072,157.61464751270435,155.89088701568252,159.47052595880626
Veg,Grains,gr_whole,CED (MJ),0.532973228643625,0.528869412846459,0.537914261065682,194.5352284549231,193.03733568895754,196.33870528897393
Vegan,Grains,gr_whole,CED (MJ),0.533152598042866,0.528676058370622,0.538051487971075,194.60069828564608,192.96676130527703,196.3887931094424
DGAplus,Protein,leg_tot,CED (MJ),0.246824236098925,0.243342471946578,0.250302941231397,90.09084617610763,88.82000226050097,91.36057354945991
Med,Protein,leg_tot,CED (MJ),0.080742754421856,0.0771431011433102,0.0842799776115672,29.471105363977436,28.157231917308224,30.76219182822203
US,Protein,leg_tot,CED (MJ),0.080716398823485,0.0772566154640274,0.0844694608039423,29.461485570572023,28.19866464437,30.83135319343894
Veg,Protein,leg_tot,CED (MJ),0.468779599981843,0.465183009189642,0.472287759555339,171.1045539933727,169.79179835421934,172.38503223769874
Vegan,Protein,leg_tot,CED (MJ),0.522724209238246,0.519135005458603,0.526240038625574,190.7943363719598,189.4842769923901,192.07761409833452
DGAplus,Other,oil,CED (MJ),-0.00611967226894642,-0.00965318190350776,-0.00267961200333301,-2.2336803781654435,-3.5234113947803323,-0.9780583812165486
Med,Other,oil,CED (MJ),-0.00628837785406484,-0.00979224021029008,-0.00291749211558631,-2.2952579167336666,-3.574167676755879,-1.0648846221890031
US,Other,oil,CED (MJ),-0.00610665403449986,-0.009400699943031,-0.00290488355634256,-2.228928722592449,-3.4312554792063152,-1.0602824980650345
Veg,Other,oil,CED (MJ),-0.0061659802371172,-0.0095951723767461,-0.00281564922653012,-2.250582786547778,-3.5022379175123266,-1.0277119676834938
Vegan,Other,oil,CED (MJ),-0.00632090265361917,-0.00976445399919116,-0.0026124294053537,-2.307129468570997,-3.564025709704773,-0.9535367329541006
