fcidcode,fcid_desc,waste_coef,ined_coef,retloss_coef,Foodgroup,Proxy,Notes
3100045000,"Beef, meat, dried",0.25,0,0.045418881,pf_redm,,
5000384000,"Turkey, meat byproducts",0.53846151,0,0.03585095,pf_poultry,,
5000385000,"Turkey, fat",0.53846151,0,0.035850972,sat_fat,,
5000382000,"Turkey, meat",0.53846157,0,0.035850946,pf_poultry,,
5000386000,"Turkey, skin",0.53846151,0,0.035850935,pf_poultry,,
1901029001,"Basil, dried leaves-babyfood",1.1874999,0.93749994,0.6941154,babyfood,,
1902274001,"Pepper, black and white-babyfood",NA,NA,NA,babyfood,,
301165001,"Garlic, bulb-babyfood",0.97727275,0.29545456,0.080177054,babyfood,,
3200171000,"Goat, fat",0.53846151,0,1,sat_fat,,
3200169000,"Goat, meat",0.25,0,0.045418862,pf_redm,,
3200170000,"Goat, meat byproducts",0.25,0,0.045418862,pf_redm,"Goat, meat","Zach's dataset did not have a proxy for this FCID, so we assigned one"
3900312000,"Rabbit, meat",0.25,0,0.045418888,pf_redm,,
3800221000,"Meat, game",0.25,0,0.045418888,pf_redm,,
4000095000,"Chicken, meat byproducts",0.17647059,0,0.0413559,pf_poultry,,
4000097000,"Chicken, skin",0.17647061,0,0.041355912,pf_poultry,,
6000303000,"Poultry, other, meat byproducts",0.17647059,0,0.041355897,pf_poultry,,
6000304000,"Poultry, other, fat",0.17647059,0,0.041355912,sat_fat,,
6000301000,"Poultry, other, meat",0.17647061,0,0.041355867,pf_poultry,,
6000305000,"Poultry, other, skin",0.17647059,0,0.041355874,pf_poultry,,
1400092000,Chestnut,0.21951221,0,0.063829787,pf_ns,,
301238001,"Onion, bulb, dried-babyfood",0.041666664,0,0.063829802,babyfood,,
4000094000,"Chicken, liver",0.17647059,0,0.041355893,pf_poultry,,
3100049000,"Beef, liver",0.25000003,0,0.045418877,pf_redm,,
5000383000,"Turkey, liver",0.53846151,0,0.035850894,pf_poultry,,
3400295000,"Pork, liver",0.40845069,0,0.045550503,pf_redm,,
3500343000,"Sheep, liver",0.25,0,0.14024487,pf_redm,,
6000302000,"Poultry, other, liver",0.17647061,0,0.041355867,pf_poultry,,
3100048000,"Beef, kidney",0.25,0,0.045418911,pf_redm,,
3400294000,"Pork, kidney",0.40845069,0,0.045550458,pf_redm,,
3500342000,"Sheep, kidney",0.25000003,0,0.14024484,pf_redm,,
3100049001,"Beef, liver-babyfood",NA,NA,NA,babyfood,,
8000160000,"Fish-saltwater finfish, other",0.66666663,0,0.095245592,pf_seafood,,
8000159000,"Fish-saltwater finfish, tuna",0.20481929,0,0.063829809,pf_seafood,,
8000158000,"Fish-freshwater finfish, farm raised",0.66666669,0,0.095245585,pf_seafood,,
801379000,"Tomato, juice",0.083333343,0.10714287,0.15183599,veg_ro,,
401248000,"Parsley, leaves",1.1875,0.9375,0.69411534,veg_dg,,
603036000,"Bean, kidney, seed",0.11111111,0,0.063829795,leg_tot,,
302239000,"Onion, green",0.91489369,0.21276595,0.10811646,veg_oth,,
103166000,Ginger,1.0930233,0.23255815,0.26616442,veg_oth,,
401144000,Dillweed,1.1875,0.9375,0.69411546,veg_oth,,
1902143000,"Dill, seed",0.041666668,0,0.063829802,veg_oth,"Onion, bulb, dried","Zach's dataset did not have a proxy for this FCID, so we assigned one"
103139000,"Dasheen, corm",1.0930232,0.23255813,0.26616442,veg_sta,,
2402283000,Plantain,0.45454547,0.81818181,0.086956523,veg_sta,,
103300000,"Potato, tuber, w/o peel",0.21621622,0.13513514,0.069509424,veg_sta,,
603042000,"Bean, pinto, seed",0.1111111,0,0.063829809,leg_tot,,
2001336000,"Sesame, seed",0.21212122,0.30303031,0.13636366,pf_ns,"Barley, pearled barley",
902309000,"Pumpkin, seed",0.21951221,0,0.063829765,pf_ns,Pine nut,We decided to change the proxy from Pumpkin to Pine nut
603030000,"Bean, black, seed",0.1111111,0,0.063829772,leg_tot,,
603039000,"Bean, mung, seed",0.11111111,0,0.063829772,leg_tot,,
103299000,"Potato, tuber, w/peel",0.21621622,0.13513514,0.069509506,veg_sta,,
602255000,"Pea, succulent",0.31578946,0,0.063829795,leg_tot,,
500069000,Cabbage,0.4285714,0.35714287,0.16381329,veg_oth,,
500061000,Broccoli,0.24489796,0.79591835,0.13577285,veg_dg,,
602037000,"Bean, lima, succulent",0.11111111,0,0.063829817,leg_tot,,
500072000,"Cabbage, Chinese, mustard",0.42857143,0.35714287,0.16381329,veg_oth,,
402070000,"Cabbage, Chinese, bok choy",0.42857143,0.3571429,0.16381331,veg_dg,,
500071000,"Cabbage, Chinese, napa",0.42857143,0.35714287,0.16381337,veg_oth,,
1400278000,Pine nut,0.21951221,0,0.063829765,pf_ns,,
9500177000,"Grape, leaves",2,2.2631578,0.59915185,veg_dg,,
402194000,Kale,1.652174,1.6956522,0.644045,veg_dg,,
500083000,Cauliflower,0.30000001,2.0333333,0.16289334,veg_oth,,
902356000,"Squash, summer",0.43103448,0.29310343,0.14246172,veg_oth,,
902357000,"Squash, winter",0.43103451,0.29310346,0.14246172,veg_sta,,
103406000,"Yam, true",1.5714287,1,0.16523549,veg_sta,,
