subgroup,food,mean,SE,pro_gro,gro_mean_intake,gro_se_intake,oth_mean_intake,oth_se_intake,food_label,food_desc
3,pufa_energy,8.258730768743082,0.198872539828846,0.8669326738742991,7.159763548154385,0.1724091027139945,1.0989672205886964,0.0264634371148515,PUFA as percent of total energy intake,Total polyunsaturated fatty acids (%E)
3,sfat_energy,11.150458679714976,0.2062636274375702,0.9100401628186158,10.147365232390065,0.1877081850968447,1.0030934473249118,0.018555442340725512,Saturated fat as percent of total energy intake,Total saturated fatty acids (%E)
3,pf_animal,5.250028842447438,0.1936612394055079,0.5874749200214159,3.0842602743269354,0.11377112113099902,2.165768568120503,0.07989011827450887,Animal-protein foods,"Total of meat, poultry, seafood, organ meat, and cured meat (oz. eq.); Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)"
3,pf_plant,1.2078906736904589,0.09712854876791675,0.7650543193426271,0.9241019772005613,0.07430861576637572,0.2837886964898975,0.022819933001541035,Plant-protein foods,"Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.); Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"
4,gr_refined,5.631619972631976,0.22437665179200103,0.5638049239638141,3.175135070462868,0.12650466110284433,2.4564849021691075,0.0978719906891567,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.)
4,gr_whole,1.042427330995905,0.10403034681527049,0.8463646163598793,0.8822736080814019,0.0880476045720916,0.16015372291450297,0.015982742243178895,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)"
4,dairy_tot,1.1436578547898992,0.0907378085271467,0.5944610922257814,0.6798600974909975,0.053940096763221444,0.46379775729890166,0.03679771176392526,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)"
4,dairy_cow,1.1099612126021243,0.09258064352761312,0.5871704684688962,0.6517364451858935,0.05436061983126048,0.4582247674162309,0.03822002369635264,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)"
4,dairy_soy,0.03255628637881493,0.01543083499073453,0.8328780244739018,0.027115415483393975,0.012852003363065734,0.005440870895420952,0.002578831627668796,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.)
4,fruit_tot,0.8924343606851458,0.08393228095116233,0.8764736352734666,0.7821951883526618,0.07356443140205918,0.11023917233248402,0.010367849549103154,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.)
