subgroup,food,cost_mean,cost_se,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,intake_mean,intake_se,ghg_impact_per_fpe,ced_impact_per_fpe,cost_impact_per_fpe,race,Race_label,age,Age_label,sex,Sex_label
41,leg_tot,0.1045148989983778,0.028480798353023307,0.024878613233172253,0.0030448304277487033,0.14321821123115427,0.019780468495501788,0.28570759772996013,0.03860023370281974,0.08707718461406323,0.501275473137815,0.36581070937133875,1,NHW,6,75+,1,Female
41,pf_egg,1.5020064952378307,0.21801615642774821,0.22289999866993443,0.012192643329126873,1.36574510882445,0.07470633956823873,0.7276745201918562,0.04751070663104864,0.3063182679684392,1.876862623229356,2.0641185771377795,1,NHW,6,75+,1,Female
41,pf_pm,0.5496875617266913,0.076458953657714,NA,NA,NA,NA,1.1320954656477882,0.07326941451140101,NA,NA,0.48554877075862024,1,NHW,6,75+,1,Female
41,gr_whole,0.3441979565932126,0.026670170508233115,0.019962587066114593,0.0010645595915592465,0.12723132381261268,0.0062637722820000005,1.2036489830317931,0.07647099919921697,0.01658505706192858,0.10570467437453232,0.2859620715386929,1,NHW,6,75+,1,Female
41,fruit_juice,0.19594200413563942,0.03635409423582619,0.0878449606236369,0.010220081775460847,0.714729399325689,0.07627633918824431,0.2719188025430938,0.02960809632532345,0.3230558527107194,2.628466265080799,0.720590125813703,1,NHW,6,75+,1,Female
41,pf_ns,0.2225307656439962,0.035917833307139733,0.03640984723526843,0.006440292625557385,0.20381982051311995,0.03528046519875494,0.8707561251296233,0.08974059289136106,0.041814058132348314,0.23407222140731854,0.25556037933223796,1,NHW,6,75+,1,Female
41,oil,0.010923711993450946,0.009399399175535056,0.0353140196768924,0.0019719363732504276,0.30247995024720264,0.01189478629709064,25.284771615121254,0.6298031263967515,0.0013966517164732178,0.011962929895174855,4.320273150862929e-4,1,NHW,6,75+,1,Female
42,dairy,0.5237222141509026,0.08270234366993966,0.3591763450903279,0.036730960456039095,1.934927330220207,0.19786341653028125,1.032025374689094,0.1091203240914632,0.3480305367477352,1.8748834841421604,0.5074702880330614,2,NHB,6,75+,1,Female
42,fruit_exc_juice,0.4369739492182069,0.0647273163419228,0.1373800662703933,0.05476028179765562,0.8608860742360237,0.13198277376029738,0.6348552800725853,0.0937870341475696,0.21639587884452363,1.3560351488887286,0.68830481990832,2,NHB,6,75+,1,Female
42,gr_refined,1.6762018739887112,0.22523549730916903,0.05362715370846496,0.00540247772742187,0.30925200162045713,0.02366160058710082,5.0522384888787,0.4260332602782301,0.010614533305684671,0.06121088747120742,0.3317740992786604,2,NHB,6,75+,1,Female
