"","X","riskfactor","outcome","midage","logRR.perchange","se.perchange","logRR.perchange.exp","se.perchange.exp","event.age","origlogRR"
"96",6,"veg","HSTK",87.5,-0.0884301823315784,0.0306684840736879,0.915367017295966,0.0280729187915205,64.2,-0.186329578
"97",1,"veg","IHD",30,-0.0731454343232778,0.0213867871201967,0.929678026580544,0.0198855422383058,55.4,-0.049612735
"98",2,"veg","IHD",40,-0.0701541506894458,0.0205121741401144,0.93244605218062,0.0191289292499188,55.4,-0.049612735
"99",3,"veg","IHD",50,-0.0595139325408973,0.0174011107831081,0.942364928524676,0.0163997786905368,55.4,-0.049612735
"100",4,"veg","IHD",60,-0.0493147128971916,0.0144189897344038,0.951980372435952,0.0137275678445514,55.4,-0.049612735
"101",5,"veg","IHD",70,-0.040903982654776,0.0119598000544993,0.959989881371655,0.011481890418226,55.4,-0.049612735
"102",6,"veg","IHD",87.5,-0.0232872589247779,0.00580079662259312,0.976981796719823,0.00566727270674731,55.4,-0.049612735
"103",1,"veg","ISTK",30,-0.273348208694617,0.0846924841941813,0.763558086866631,0.064758188541238,60,-0.181521877
"104",2,"veg","ISTK",40,-0.262169629599828,0.081228983782673,0.771919925410995,0.0627825322476667,60,-0.181521877
"105",3,"veg","ISTK",50,-0.222406593151494,0.0689090554685443,0.802490635744343,0.0553483882049306,60,-0.181521877
"106",4,"veg","ISTK",60,-0.184291590547665,0.0570997435619413,0.833048658750754,0.0475949493973966,60,-0.181521877
"107",5,"veg","ISTK",70,-0.152860263810074,0.047361259612703,0.859211691143923,0.0407090506527643,60,-0.181521877
"108",6,"veg","ISTK",87.5,-0.0882971903252208,0.0235925817436161,0.915488761887499,0.0215987434501927,60,-0.181521877
"109",1,"wg","CVD",30,-0.134053217019617,0.0461109274557884,0.87547366110249,0.0404447603451054,61.1,-0.093212382
"110",2,"wg","CVD",40,-0.128571108698802,0.04422522038582,0.880211283789215,0.0389968942807766,61.1,-0.093212382
"111",3,"wg","CVD",50,-0.109070842061523,0.0375176202232033,0.897298009756716,0.0337132839478685,61.1,-0.093212382
"112",4,"wg","CVD",60,-0.0903787908490621,0.0310880257933169,0.914026470411899,0.0284480193110066,61.1,-0.093212382
"113",5,"wg","CVD",70,-0.0749644938815044,0.0257858961984038,0.92808477135712,0.023953572761685,61.1,-0.093212382
