disease,subgroup,Sex,Age_label,Race_label,count,se,X1,X2,X3
CM_total,28,1,55-64,OTH,36,6,46.479837668301784,31.504307986334588,36.55963761556441
CM_total,29,2,55-64,NHW,1465,38,1444.1594619135149,1448.5968957808234,1471.073806578014
CM_total,30,2,55-64,NHB,594,25,545.666865835908,609.1482994365892,599.2074877699495
CM_total,31,2,55-64,HIS,173,14,159.26351237779372,154.45157032462788,190.8618322449292
CM_total,32,2,55-64,OTH,91,10,90.7358010767577,117.12877296296632,82.38995739786051
CM_total,33,1,65-74,NHW,982,32,991.1038547579772,1013.9112081771557,996.7624622214016
CM_total,34,1,65-74,NHB,316,18,309.6471758977221,311.86016196566146,321.7137400085222
CM_total,35,1,65-74,HIS,78,9,76.70805136145457,85.27983253907044,77.6289998998459
CM_total,36,1,65-74,OTH,44,7,47.63191952612595,46.775621935948614,44.0073734372681
CM_total,37,2,65-74,NHW,2002,45,1995.8759092484754,1952.419806073028,1981.8493273103647
CM_total,38,2,65-74,NHB,549,24,599.4739432237735,561.6116169313053,581.63830077237
CM_total,39,2,65-74,HIS,152,13,135.3575292249114,166.06445303431767,147.89308417311642
CM_total,40,2,65-74,OTH,88,10,87.79240877286551,95.23531364474509,99.08939768332365
CM_total,41,1,75+,NHW,3851,88,3777.489469977202,3994.222163531161,3811.7876785179537
CM_total,42,1,75+,NHB,529,33,568.1521194672478,573.5917896449171,527.0814176448291
CM_total,43,1,75+,HIS,296,25,324.5306103694843,335.2259828452504,326.5084177792369
CM_total,44,1,75+,OTH,137,17,134.68202541795893,164.91132707753889,118.21466248514363
CM_total,45,2,75+,NHW,4298,93,4439.376788170643,4335.8839945375275,4443.928533888962
CM_total,46,2,75+,NHB,482,31,497.63560567417534,534.542612037191,484.57522502519816
CM_total,47,2,75+,HIS,289,25,300.87079560840044,300.6745053849878,229.52295618832767
CM_total,48,2,75+,OTH,144,17,164.2492650228984,147.1948364857775,118.86914674736528
DIAB_total,1,1,20-34,NHW,169,13,159.91639917135365,154.71463858344143,173.87274420602583
DIAB_total,2,1,20-34,NHB,109,11,115.49978817926481,115.85426708704598,98.72245858393315
DIAB_total,3,1,20-34,HIS,39,7,35.68302116253605,41.58990520320526,33.82301235052327
DIAB_total,4,1,20-34,OTH,10,4,10.927511684025026,9.560568739225202,4.301106308059137
DIAB_total,5,2,20-34,NHW,263,16,262.7301033901011,284.8019053326689,286.5601909781002
DIAB_total,6,2,20-34,NHB,148,12,148.36519500870605,139.5830261209039,134.4958328231001
DIAB_total,7,2,20-34,HIS,59,8,56.55555161701568,65.98727808956895,41.71732857683404
DIAB_total,8,2,20-34,OTH,21,5,30.22416571117696,25.628592083220205,20.848983470083663
DIAB_total,9,1,35-44,NHW,389,21,362.5598402999752,442.3555099881194,434.3428322131573
DIAB_total,10,1,35-44,NHB,241,16,257.46265965867076,244.98687593529525,251.1294759643098
DIAB_total,11,1,35-44,HIS,75,9,62.90226492926253,78.9110858503645,64.84529225765482
DIAB_total,12,1,35-44,OTH,41,7,29.388835026757558,39.728944443808096,29.916986873637654
DIAB_total,13,2,35-44,NHW,636,26,622.3472311514773,625.4266403837147,631.2700856835784
DIAB_total,14,2,35-44,NHB,381,20,387.0217787157816,392.543396823105,349.53777675446383
DIAB_total,15,2,35-44,HIS,192,14,199.7923432092076,209.08426258134358,200.3722356088456
DIAB_total,16,2,35-44,OTH,81,10,93.23033548014928,77.17529915948646,89.5372695503412
DIAB_total,17,1,45-54,NHW,1108,33,1126.4630191153728,1097.875282910701,1160.8906093539854
DIAB_total,18,1,45-54,NHB,606,25,584.2504948760239,623.87375247112,611.6558581178783
DIAB_total,19,1,45-54,HIS,281,17,289.6057132329408,280.5589887488367,269.39394102630143
DIAB_total,20,1,45-54,OTH,99,11,78.74554877603474,90.70454170460287,89.7136143505932
DIAB_total,21,2,45-54,NHW,2078,46,2063.0702638338953,2101.391232493307,2113.93856288211
DIAB_total,22,2,45-54,NHB,837,29,827.0381391515621,861.4975102152941,843.5018646148094
DIAB_total,23,2,45-54,HIS,519,23,555.2253655995278,539.7939130800468,514.1003508100532
DIAB_total,24,2,45-54,OTH,170,14,186.19996234114566,165.52159789936508,149.1395679343887
DIAB_total,25,1,55-64,NHW,2868,54,2910.62444309827,2914.0963875165444,2958.513626949243
DIAB_total,26,1,55-64,NHB,1189,35,1191.0795945691045,1258.4774338170587,1242.9575958385371
DIAB_total,27,1,55-64,HIS,525,23,491.1922288830505,557.6684626229508,519.2400341212555
DIAB_total,28,1,55-64,OTH,194,14,218.3608168907993,169.3157176808103,201.443887249731
DIAB_total,29,2,55-64,NHW,5368,73,5406.132221495921,5351.537550534279,5265.888827098677
DIAB_total,30,2,55-64,NHB,1726,42,1780.6137229715382,1768.1460465553055,1711.9753539175517
DIAB_total,31,2,55-64,HIS,923,31,960.6197725470545,944.0233283230586,961.0061061236013
DIAB_total,32,2,55-64,OTH,362,20,371.8675469954862,366.76710195075134,356.9804304528011
DIAB_total,33,1,65-74,NHW,4785,70,4710.412034210234,4788.119971061722,4732.329310877828
DIAB_total,34,1,65-74,NHB,1617,41,1651.2452934871387,1685.4043552674927,1645.0927869837074
DIAB_total,35,1,65-74,HIS,796,29,767.0825257271082,803.0778168388132,847.0254326449179
DIAB_total,36,1,65-74,OTH,316,18,297.31028671319893,300.10635482438465,338.02296470899995
DIAB_total,37,2,65-74,NHW,7948,89,7915.696015407206,7982.375163061266,7993.9185580386575
DIAB_total,38,2,65-74,NHB,1915,44,1909.9959150199504,1860.6028023587196,1885.01815052765
