,FNDDS_food_code,FNDDS_food_code_descr,food_item_cluster,rep_food,food_grp,dga_subgrp,commodity,prop_dga_subgrp,gwp_100g,od_100g,htnc_100g,htc_100g,pm_100g,irh_100g,ire_100g,pof_100g,acid_100g,teu_100g,feu_100g,meu_100g,feco_100g,lu_100g,wd_100g,md_100g,FPED,FPED_CF
293,81104510,NA,Margarine (1/2 total),"Margarine-like, veg. oil spread, 60% fat, tub, with salt, without vit. D",oils,oils,oils_o,0.03,0.160519048,2.41E-09,-9.49E-08,1.57E-09,2.05E-05,0.003734763,8.75E-09,0.000254402,0.000520588,0.002068834,3.50E-05,0.000675566,0.098287536,2.67944008,0.000744744,1.04E-06,100,0.01
12,75201011,"Artichoke, globe (French), cooked, from fresh, fat not added in cooking",Artichoke,"Artichokes, cooked, boiled, drained, without salt",veg,other,other_o,0.002754821,0.27070092,1.20E-08,2.23E-07,1.58E-08,0.000243677,0.017394095,6.31E-08,0.000671971,0.002496266,0.006482647,0.000109441,0.001000296,10.0482189,2.0271459,0.032951163,5.91E-06,0.57,1.754385965
13,75202011,"Asparagus, cooked, from fresh, fat not added in cooking",Asparagus,"Asparagus, cooked, boiled, drained",veg,other,other_o,0.011019284,0.30472344,1.36E-08,2.51E-07,1.78E-08,0.000274303,0.019580238,7.11E-08,0.000756426,0.002810005,0.007297406,0.000123195,0.001126017,11.3111098,2.2819238,0.037092566,6.65E-06,0.56,1.785714286
14,63105010,"Avocado, raw",Avocado,"Avocados, raw, all commercial varieties",veg,other,other_o,0.03030303,0.1996974,8.88E-09,1.65E-07,1.17E-08,0.000179762,0.01283171,4.66E-08,0.000495716,0.001841508,0.004782281,8.07E-05,0.000737924,7.4126205,1.4954355,0.024308235,4.36E-06,0.69,1.449275362
16,75203000,"Bamboo shoots, cooked, fat not added in cooking",Bamboo Shoots,"Bamboo shoots, cooked, drained, without salt",veg,other,other_o,0.008264463,0.52291134,2.33E-08,4.31E-07,3.06E-08,0.00047071,0.033600069,1.22E-07,0.001298041,0.004822023,0.01252249,0.000211406,0.001932266,19.41008405,3.91582555,0.063651564,1.14E-05,0.67,1.492537313
19,75207011,"Bean sprouts, cooked, from fresh, fat not added in cooking","Mungbeans Sprt, ckd and raw (Incl. alfalfa and buckwheat sprouts)","Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",veg,other,other_o,0.013774105,0.06064884,2.70E-09,5.00E-08,3.54E-09,5.46E-05,0.003897038,1.41E-08,0.000150551,0.000559273,0.001452396,2.45E-05,0.00022411,2.2512403,0.4541693,0.007382501,1.32E-06,0.8,1.25
21,75205021,"Beans, string, green, cooked, from fresh, fat not added in cooking","Green Beans, ckd and raw (Incl. snap and yellow beans)","Beans, snap, green, cooked, boiled, drained, without salt",veg,other,green_bean,0.104683196,-0.107294299,4.80E-09,-3.15E-08,6.53E-09,2.67E-05,0.004372737,1.39E-08,0.000218148,0.000268549,0.000791858,2.43E-05,0.001505991,2.3322407,3.3378394,0.008561756,7.40E-06,0.8,1.25
25,75208011,"Beets, cooked, from fresh, fat not added in cooking",Beets,"Beets, cooked, boiled, drained",veg,other,other_o,0.005509642,0.034111315,2.89E-09,1.95E-07,3.88E-09,4.70E-05,0.004452437,1.34E-08,0.000204839,0.001515889,0.00658361,2.14E-05,0.000648143,0.5874097,0.9209728,0.009549814,8.92E-07,0.59,1.694915254
38,75209011,"Brussels sprouts, cooked, from fresh, fat not added in cooking",Brussels Sprouts,"Brussels sprouts, cooked, boiled, drained, without salt",veg,other,other_o,0.005509642,0.024768304,1.59E-09,7.74E-09,1.02E-09,2.30E-05,0.002460128,8.89E-09,7.56E-05,0.000171464,0.000410636,9.99E-06,0.000128032,0.23867184,0.1111836,0.000680575,1.31E-06,0.65,1.538461538
41,75211020,"Cabbage, green, cooked, fat not added in cooking","Green Cabbage, cooked","Cabbage, cooked, boiled, drained, without salt",veg,other,other_o,0.019283747,0.028990174,1.86E-09,9.06E-09,1.19E-09,2.69E-05,0.002879468,1.04E-08,8.85E-05,0.000200691,0.000480631,1.17E-05,0.000149856,0.27935454,0.13013535,0.000796582,1.53E-06,0.67,1.492537313
